"especie","key"
"Tupinambis sp.",0
"Tupinambis teguixin",2471948
"Typhlops brongersmianus",9353529
"Typhlops sp.",0
"Uranoscodon superciliosus",2460007
"Uromacerina ricardinii",2454419
"Urostrophus vautieri",2467452
"Waglerophis merremii",2457416
"Waglerophis sp.",0
"Xenodon merremii",5224072
"Xenodon neuwiedii",5959593
"Xenodon rhabdocephalus",5959581
"Xenodon sp.",0
"Xenopholis scalaris",5223756
