"especie","key"
"Citharichthys arenaceus",2408734
"Citharichthys macrops",2408741
"Citharichthys sp.",0
"Citharichthys spilopterus",2408720
"Clarias gariepinus",5202793
"Clepticus brasiliensis",5209748
"Colomesus asellus",2407613
"Compsura heterura",2352920
"Conodon nobilis",2382784
"Copionodon lianae",2342970
"Copionodon orthiocarinatus",2342971
"Copionodon pecten",2342969
"Coptodon rendalli",9312593
"Coralliozetus sp.",0
"Corydoras aeneus",2342606
"Corydoras garbei",2342654
"Corydoras lymnades",8092588
"Corydoras multimaculatus",2342793
"Corydoras nattereri",2342704
"Corydoras paleatus",2342720
"Corydoras sp.",0
"Corymbophanes sp.",0
"Coryphopterus glaucofraenum",2377816
"Coryphopterus sp.",0
"Creagrutus britskii",2353682
"Creatochanes sp.",0
"Crenicichla lacustris",2370975
"Crenicichla lepidota",2370934
"Crenicichla menezesi",2370991
"Crenicichla punctata",2370978
"Crenicichla sp.",0
"Cryptotomus roseus",2393551
"Ctenogobius boleosoma",2375376
"Ctenogobius shufeldti",2375361
"Ctenogobius sp.",0
"Ctenogobius stigmaticus",2375371
"Ctenosciaena gracillicirhus",2400066
"Curimata sp.",0
"Curimatella immaculata",2355005
"Curimatella lepidura",2354984
"Curimatella sp.",0
"Cyclichthys sp.",0
"Cyclichthys spinosus",4284297
"Cyclopsetta chittendeni",2408923
"Cyclopsetta fimbriata",2408917
"Cynolebias albipunctatus",2349486
"Cynolebias gilbertoi",2349497
"Cynopotamus sp.",0
"Cynoscion leiarchus",2400004
"Cynoscion microlepidotus",2400036
"Cynoscion sp.",0
"Cynoscion striatus",2399999
"Cynoscion virescens",2400021
"Cyphocharax gilbert",2355131
"Cyphocharax modestus",2355100
"Cyphocharax pinnilepis",5962414
"Cyphocharax sp.",0
"Cyprinus carpio",4286975
"Dactylopterus volitans",2333605
"Dactyloscopus tridigitatus",2390091
"Dasyatis americana",9335213
"Dasyatis guttata",9424579
"Decapterus macarellus",2391064
"Decodon puellaris",5209741
"Delturus brevis",2339549
"Delturus carinotus",2339550
"Deuterodon parahybae",2353216
"Deuterodon sp",0
"Diaphus sp.",0
"Diapterus auratus",2369330
"Diapterus rhombeus",2369323
"Dibranchus atlanticus",2414913
"Diodon holocanthus",5213361
"Diplectrum formosum",5210229
"Diplectrum radiale",5210233
"Diplodus argenteus",5712109
"Doras sp.",0
"Doratonotus megalepis",5209736
"Dormitator maculatus",2386401
"Dormitator sp.",0
"Duopalatinus emarginatus",2338719
"Echeneis naucrates",2375300
"Echidna catenata",5213083
"Echiophis intertinctus",2405181
"Eigenmannia microstoma",2402037
"Eigenmannia sp.",0
"Eigenmannia virescens",2402039
"Elacatinus pridisi",2376735
"Eleotris pisonis",2386110
"Eleotris sp.",0
"Elops saurus",5203145
"Emblemariopsis occidentalis",2381448
"Emblemariopsis signifera",5788047
"Enchelycore nigricans",2404189
"Enneanectes altivelis",2393068
"Enneanectes smithi",2393081
"Entomacrodus sp.",0
"Entomacrodus vomerinus",2395658
"Epinephelus adscensionis",2388519
"Epinephelus itajara",2388456
"Epinephelus morio",2388373
"Epinephelus sp.",0
"Equetus lanceolatus",2399845
"Erythrinus erythrinus",2352207
"Etropus crossotus",8123721
"Etropus longimanus",2408955
"Etropus sp.",0
"Eucinostomus argenteus",2369473
"Eucinostomus gula",2369471
"Eucinostomus lefroyi",2369493
"Eucinostomus melanopterus",2369483
"Eucinostomus sp.",0
"Eugerres brasilianus",2369342
"Eugerres sp.",0
"Euryochus thysanos",9536494
"Exocoetus volitans",2368648
"Exodon paradoxus",2354407
"Fistularia sp.",0
"Fistularia tabacaria",5200941
"Genidens barbus",2345063
"Genidens genidens",2345053
"Genyatremus luteus",2382789
"Genypterus brasiliensis",2345635
"Geophagus brasiliensis",7769592
"Geophagus itapicuruensis",5208432
"Geophagus neambi",5961953
"Geophagus parnaibae",5208423
"Geophagus sp.",0
"Gephyroberyx darwinii",2357088
"Gladioglanis sp.",0
"Glanidium albescens",2344593
"Glanidium botocudo",8109178
"Glanidium catharinensis",2344594
"Glanidium melanopterum",2344596
"Glaphyropoma rodriguesi",2343338
"Gnatholepis thompsoni",2378717
"Gobiesox strumosus",2411317
"Gobio gobio",4409628
"Gobioides broussonnetii",2379131
"Gobionellus oceanicus",2375711
"Gobionellus sp.",0
"Gobionellus stigmaturus",2375366
"Gobionellus stomatus",2375708
"Gobiosoma hemigymnum",5208830
"Gonioplectrus hispanus",2388676
"Gramma brasiliensis",2380561
"Guavina guavina",2386369
"Gymnachirus nudus",2408204
"Gymnogeophagus gymnogenys",2371122
"Gymnorhamphichthys sp.",0
"Gymnothorax funebris",2403964
"Gymnothorax miliaris",2403816
"Gymnothorax moringa",2404065
"Gymnothorax ocellatus",2403802
"Gymnothorax polygonius",2403798
"Gymnotus bahianus",5212791
"Gymnotus capitimaculatus",7969933
"Gymnotus carapo",5212798
"Gymnotus pantherinus",5212794
"Gymnotus sp.",0
"Haemulon aurolineatum",2382528
"Haemulon parra",2382511
"Haemulon plumieri",2382537
"Haemulon steindachneri",2382546
"Halichoeres bivittatus",2384268
"Halichoeres brasiliensis",2384117
"Halichoeres cyanocephalus",2384218
"Halichoeres dimidiatus",2384245
"Halichoeres maculipinna",2384125
"Halichoeres poeyi",2384275
"Halichoeres radiatus",2384111
"Halichoeres sp.",0
"Harengula clupeola",2412951
"Harengula jaguana",2412960
"Harengula sp.",0
"Harttia carvalhoi",5202424
"Harttia garavelloi",5202426
"Harttia kronei",5202417
"Harttia longipinna",5202416
"Harttia loricariformis",5202425
"Harttia sp.",0
"Hasemania nana",2353385
"Hasemania piatan",5962461
"Hasemania sp.",0
"Hassar sp.",0
"Helicolenus dactylopterus",4286361
"Helicolenus sp.",0
"Hemancistrus punctulatus",2340155
"Hemiancistrus sp.",0
"Hemicaranx amblyrhynchus",2391412
"Hemigrammus brevis",2354352
"Hemigrammus gracilis",2354383
"Hemigrammus marginatus",2354329
"Hemigrammus sp.",0
"Hemigramus sp.",0
"Hemiodopsis gracilis",2354911
"Hemiodus immaculatus",2354865
"Hemiodus parnaguae",2354890
"Hemiodus thayeria",2354899
"Hemiramphus brasiliensis",2368950
"Heptapterus mustelinus",2343816
"Heptapterus sp.",0
"Heros sp.",0
"Heteropriacanthus cruentatus",2375045
"Heteropriacanthus sp.",0
"Hippocampus reidi",5201123
"Hisonotus notatus",2339258
"Hisonotus sp.",0
"Hisonotus thayeri",9062125
"Hisonotus vespucii",8985528
"Holacanthus ciliaris",5211452
"Holacanthus tricolor",5211450
"Hollandichthys multifasciatus",2353395
"Holocentrus adscensionis",5204778
"Hoplerythrinus sp.",0
"Hoplerythrinus unitaeniatus",2352216
"Hoplias brasiliensis",2352228
"Hoplias intermedius",7992053
"Hoplias malabaricus",2352230
"Hoplias sp.",0
"Hoplosternum littorale",2342499
"Hoplosternum sp.",0
"Hydrolycus scomberoides",2352282
"Hyphessobrycon bifasciatus",2354661
"Hyphessobrycon boulengeri",2354631
"Hyphessobrycon diastatos",7865864
"Hyphessobrycon eques",2354612
"Hyphessobrycon igneus",2354626
"Hyphessobrycon lacustris",0
"Hyphessobrycon luetkenii",2354595
"Hyphessobrycon meridionalis",2354642
"Hyphessobrycon reticulatus",2354548
"Hyphessobrycon sp.",0
"Hypleurochilus fissicornis",2395705
"Hypomasticus mormyrops",5962513
"Hypomasticus thayeri",5962515
"Hyporhamphus sp.",0
"Hyporhamphus unifasciatus",2368849
"Hypostomus affinis",5202225
"Hypostomus ancistroides",5202249
"Hypostomus aspilogaster",5202272
"Hypostomus auroguttatus",5202155
"Hypostomus brevicauda",5202193
"Hypostomus chrysostiktos",5202202
"Hypostomus francisci",5202189
"Hypostomus jaguar",7555039
"Hypostomus lima",5202164
"Hypostomus macrops",5202192
"Hypostomus nigromaculatus",5202185
"Hypostomus scabriceps",5202269
"Hypostomus sp.",0
"Hypostomus unae",5202204
"Hypostomus wuchereri",5202169
"Hypsoblennius invemar",2395534
"Ictalurus punctatus",5202520
"Iguanodectes sp.",0
"Imparfinis borodini",2343564
"Imparfinis minutus",2343559
"Imparfinis sp.",0
"Isopisthus parvipinnis",2399632
"Ituglanis cahyensis",2342897
"Ituglanis ina",7192998
