"especie","key"
"Cranioleuca pallida",2485325
"Crax blumenbachii",2482179
"Crotophaga ani",2496209
"Crotophaga major",2496210
"Crypturellus noctivagus",2477503
"Crypturellus obsoletus",2477535
"Crypturellus parvirostris",2477558
"Crypturellus soui",2477507
"Crypturellus tataupa",2477522
"Crypturellus variegatus",2477527
"Cyanerpes caeruleus",2488903
"Cyanerpes cyaneus",2488890
"Cyanocorax cyanopogon",2482576
"Cyanoloxia brissonii",9555348
"Cyanoloxia glaucocaerulea",2490382
"Cyclarhis gujanensis",2487404
"Cynanthus latirostris",5228542
"Cypseloides fumigatus",2477281
"Cypseloides senex",2477288
"Dacnis cayana",2488246
"Dacnis lineata",2488364
"Damophila julie",5228507
"Dendrocincla fuliginosa",2485950
"Dendrocincla sp.",0
"Dendrocincla turdina",2485950
"Dendrocolaptes platyrostris",2485785
"Dendrocygna autumnalis",2498393
"Dendrocygna viduata",2498396
"Dendroica striata",6092935
"Dendroplex picus",5230154
"Deroptyus accipitrinus",2479535
"Diopsittaca nobilis",2479365
"Discosura conversii",2476911
"Discosura langsdorffi",2476907
"Discosura longicaudus",2476905
"Discosura popelairii",2476903
"Donacobius atricapilla",2493895
"Doryfera johannae",2476968
"Doryfera ludovicae",2476971
"Drymophila ferruginea",5230835
"Drymophila genei",5230839
"Drymophila ochropyga",5230834
"Drymophila squamata",5230833
"Dryocopus lineatus",5228831
"Dysithamnus mentalis",2490033
"Dysithamnus plumbeus",2490032
"Dysithamnus stictothorax",2490028
"Egretta thula",2480873
"Elaenia albiceps",5229651
"Elaenia flavogaster",5229606
"Elaenia mesoleuca",5229611
"Elaenia obscura",5229627
"Elaenia parvirostris",5229612
"Elaenia sp.",0
"Elanoides forficatus",2480461
"Emberizoides herbicola",5231162
"Empidonomus varius",2484090
"Ensifera ensifera",2476884
"Eriocnemis alinae",5228531
"Eriocnemis cupreoventris",5228537
"Eriocnemis luciani",5228518
"Eriocnemis mosquera",5228534
"Eriocnemis nigrivestis",5228530
"Eriocnemis vestita",5228524
"Estrilda astrild",2493660
"Eulampis holosericeus",2476399
"Eulampis jugularis",2476398
"Eupetomena macroura",2476667
"Euphonia chlorotica",2487964
"Euphonia musica",2487981
"Euphonia pectoralis",2487980
"Euphonia sp.",0
