"DATAREG";"EXTNO";"CODIGO BARRA";"REGISTRO";"GRUPO";"FAMILIA";"GENERO";"ESPECIE";"AUTOR";"INFRAESPEC";"RANKINFRA";"AUTORINFRA";"ORIGEM_NR";"HERBARIO";"DET";"QUALIFIC";"DATADET";"PAIS";"ESTADO";"MUNICIPIO";"LATGRAU";"LATMIN";"LATSEG";"LATDIREC";"LONGGRAU";"LONGMIN";"LONGSEG";"LONGDIREC";"X__1";"LOCALIDADE";"COORDENADA-OBS";"ALTITUDE";"ALTMAIOR";"HABITAT";"VEGETACAO";"COLETOR";"OUTROSCOL";"NUMCOLETOR";"CODIGOCOL";"DATACOL";"DIA";"MES";"ANO";"OBSCOL";"FENOFASE";"NUMDUPLS";"DESTINO";"LEMBRETE";"ANOEMPRESTIMO";"EMPRESTIMO";"NRPARTES";"EM";"PARA";"A_CUIDADOS";"DEVOLUCAO";"OBS";"REMESSA";"vazio";"COLEÇÃO";"TIPIFICAÇÃO";"JR";"PARQUE";"INVENTÁRIO 2001";"INVENTÁRIO";"C EPÍFITAS";"DISTRIBUIÇÃO DE DUPLICATAS";"SUSPEITO-CRIA";"LOCALIDADE DETALHADA";"DUPLICATA DE";"INVENTÁRIO 2010";"INVENTÁRIO 2010 OBS";"INVENTÁRIO 2010 LOCALIZADO"
"14/09/2001";NA;"MBML00008689";14094;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"S. Profice/2006";NA;NA;"Brasil";"Espírito Santo";"Santa Maria de Jetibá";20;20;60;"S";40;37;37;"W";NA;"São José do Rio Claro";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"L. Kollmann";"et al";3642;NA;NA;6;5;2001;"Arbusto 2m na sombra. Brácteas amarronzadas, base verde.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-06-06;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"08/02/2007";NA;"MBML00009074";28778;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Marilândia";19;21;13;"S";40;31;1;"W";NA;"Alto Liberdade, propr.: Deuclecio Lorenzini.";"GPS - arredores da coleta";"300";"400";NA;NA;"L. F. S. Magnago";"V. Demuner, T. Cruz e Elias Bausen";916;NA;"19/04/2006";19;4;2006;"Herbácea. Flores amarelas. Bracteas laranja. Mata a beira do corrego.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"06/03/2007";NA;"MBML00009075";28915;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Cariacica";20;16;22;"S";40;28;45;"W";NA;"Reserva Biológica de Duas Bocas";"Google Earth - Sede da UC";NA;NA;NA;NA;"L. Kollmann";NA;9463;NA;"10/01/2007";10;1;2007;"Planta 60cm na sombra, brácteas vermelhas, flores amarelas, folhas verde escuras com nervuras cinzas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"02/10/2007";NA;"MBML00009071";31537;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;6;7;"S";40;36;58;"W";NA;"Rio das Farinhas";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"R.R. Vervloet";NA;2638;NA;"03/08/2004";3;8;2004;"Erva 50cm, brácteas de base verde e ápice vinho, folhas verdes com listas brancas. Topo de morro, dossel 18m.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"25/11/2008";NA;"MBML00009070";35592;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"A. P. Fontana";NA;2008-07-08;"Brasil";"Espírito Santo";"Santa Leopoldina";20;8;58;"S";40;37;29.2;"W";NA;"Rio das Farinhas, beira da estrada para Luxemburgo, próximo a propr. De Pedro Blanck.";"GPS";"624";NA;NA;NA;"A. P. Fontana";"L. Kollmann & K. A. Brahim";4937;NA;"14/04/2008";14;4;2008;"Terrestre, 60cm, na sombra. Folhas discolores, abaxial roxa e adaxial verde com centro prateado. Bracteas das flores laranjas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"05/05/2010";NA;"MBML00009072";39747;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;2;40.49;"S";40;35;32.42;"W";NA;"Propriedade Família Balbino - Timbuí Seco";NA;NA;NA;NA;NA;"A. M. Assis";"A. P. Fontana, K. F. O. Faria, C. Esgario, Valdemar Pagung";1093;NA;"26/11/2005";26;11;2005;"Planta de 1,5 m. Brácteas vermelhas, flores amarelas. Folhas verdescom rajados brancos. Floresta Ombrófila Densa Montana em Estágio Médio/Avançado de Regeneração - encosta. Interior da Mata.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-09-14;NA;TRUE
"05/05/2010";NA;"MBML00009073";39749;"AD";"ACANTHACEAE";"Aphelandra";"blanchetiana";"(Nees) Hook.";NA;NA;NA;NA;NA;"L. Kollmann/22-03-2011";NA;NA;"Brasil";"Espírito Santo";"Santa Leopoldina";20;3;11;"S";40;35;35;"W";NA;"Propriedade Família Balbino - Timbuí Seco - Trilha dos Tropeiros";NA;NA;NA;NA;NA;"A. M. Assis";"A. P. Fontana, K. F. O. Faria, C. Esgario, Valdemar Pagung";1138;NA;"27/11/2005";27;11;2005;"Herbácea. Bráctea vermelha. Flor amarela. Floresta Ombrófila Densa Montana. Preservada. Encosta. Interior da Mata.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-09-14;NA;TRUE
NA;NA;"MBML00008690";1753;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"S.R. Profice/2003";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;48;20;"S";40;40;53;"W";NA;"São João de Petrópolis, E.A.F.S.T.";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. Boone";NA;597;"BOONE, 597";NA;23;7;1985;"Arbusto rupícola, com flores de cálice verde e corola vermelha, frutos secos, ciófila, encosta.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"29/09/1999";NA;"MBML00008696";10638;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"S.R. Profice/Set./2008";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;48;20;"S";40;40;53;"W";NA;"São João de Petrópolis, E.A.F.S.T.";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. P. Lopes";"E. Bausen & W. Pizziolo";702;NA;NA;12;5;1999;"Arbusto 1,5m. Cálice verde, corola vermelha. Ambiente úmido.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"16/05/2003";NA;"MBML00008692";20590;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Maria de Jetibá";20;10;37;"S";40;55;27;"W";NA;"Pedra do Garrafão";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"L. Kollmann";"et al";6131;NA;NA;21;4;2003;"Arbusto 1,50 m, na sombra. Flores de base vermelha, ápice laranja.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"27/11/2006";NA;"MBML00008694";26992;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Águia Branca";18;53;32;"S";40;43;48;"W";NA;"Águas Claras, Escola Agroecológica";"GPS - arredores da coleta";"300";"500";NA;NA;"V. Demuner";"L.F.S Magnago, T. Cruz e Elias Bausen";2389;NA;"06/06/2006";6;6;2006;"Arbusto 2m, botões florais, flores vermelhas. Interior de mata, beira de riacho.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
"22/12/2006";NA;"MBML00008693";27923;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Águia Branca";18;54;12;"S";40;44;8;"W";NA;"Mata do Assentamento 16 de abril.";"GPS - arredores da coleta";"150";"250";NA;NA;"L. F. S. Magnago";"V. Demuner, T. Cruz e Elias Bausen";1070;NA;"25/07/2006";25;7;2006;"Arbusto 1,5m de alt. Flores vermelhas. Mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
"22/05/2007";NA;"MBML00008691";30021;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Governador Lindenberg";19;8;55;"S";40;27;28;"W";NA;"Morelo, propr.: Fernando Nicolli";"GPS - arredores da coleta";"110";"150";NA;NA;"V. Demuner";"T. Cruz, R. R. Vervloet, M. Belisario e Elias Bausen.";3757;NA;"24/04/2007";24;4;2007;"Arbusto 2m botões florais, flores vermelhas. Borda de mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"22/05/2007";NA;"MBML00008695";30059;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Governador Lindenberg";19;8;22;"S";40;27;35;"W";NA;"Morelo, propr.: Fernando Nicolli (mata próximo da sede)";"GPS - arredores da coleta";"150";"200";NA;NA;"V. Demuner";"T. Cruz, R. R. Vervloet, M. Belisario e Elias Bausen.";3728;NA;"24/04/2007";24;4;2007;"Arbusto 2m, botões florais, flores vermelhas. Interior de mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"18/07/2007";NA;"MBML00008697";30489;"AD";"ACANTHACEAE";"Aphelandra";"gigantea";"(Rizzini) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Águia Branca";18;54;25.3;"S";40;44;5;"W";NA;"Assentamento 16 de abril";"GPS - arredores da coleta";"150";"200";NA;NA;"R.R. Vervloet";"V. Demuner, E. Bausen, T. A. Cruz";2719;NA;"03/07/2007";3;7;2007;"Arbusto 2m, flores com sépalas verde e pétalas vermelhas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005994";5940;"AD";"ACANTHACEAE";"Aphelandra";"grazielae";"Profice";NA;NA;NA;NA;NA;"Sheila Regina Profice";NA;NA;"Brasil";"Espírito Santo";"Ibiraçu";19;53;22;"S";40;22;37;"W";NA;"Estação Ecológica, Morro da Vargem";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"H. Q. Boudet Fernandes";"et al";2930;"FERNANDES, 2930";NA;26;5;1990;"Arbusto até ca. 1m, flores rosas.";NA;1;"US, UEC, VIES, RB";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;"E";"HOLOTIPO";NA;NA;2002-05-23;NA;NA;NA;NA;"Brasil, ES,Município de Ibiraçu, Estação Ecológica do Morro da Vargem. Floresta Atlântica. Ca. 19º53'S, 40º23'W e 300-470 m/s.m. Trilha do mirante 1. Floresta de \"vale\", primária, alterada.";NA;2010-08-13;NA;TRUE
"27/11/2006";NA;"MBML00005702";27056;"AD";"ACANTHACEAE";"Aphelandra";"harleyi";"Wassh.";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Linhares";19;19;32;"S";40;29;20;"W";NA;"São Sebastião, Prop.: Duílio Petri";"GPS - arredores da coleta";"400";"550";NA;NA;"V. Demuner";"L.F.S Magnago, T. Cruz e Elias Bausen";2300;NA;"23/05/2006";23;5;2006;".: Arbusto 1m, corola com ápice roxo, base vermelho. Interior de mata alterada.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005705";1716;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"D. C. Wasshausen/1991";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;53;"S";40;36;27;"W";NA;"Estação Biológica Caixa D'Água";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. Boone";NA;1075;"BOONE, 1075";NA;4;2;1986;"Sub-arbusto, brácteas alaranjadas, flores amarelas, semi-sombra, mata, local plano, grota.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005711";9140;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;"SPF";"S. Profice/23-10-2002";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;53;"S";40;36;27;"W";NA;"Estação Biológica Caixa D'Água";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"R. Mello Silva";"et al";1562;NA;NA;13;2;1999;"Erva 50cm. Folhas discolores. Brácteas laranja e flores amarelas. Dispersa pela mata.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"13/03/2000";NA;"MBML00005704";12020;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"S. Profice/23-10-2002";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;53;"S";40;36;27;"W";NA;"Estação Biológica Caixa D'Água";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"V. Demuner";"et al";719;NA;NA;15;2;2000;"Herbacea. Inflorescencia, com bracteas alaranjadas, petalas amarelas.  Interior de mata, plano e sombreado.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-06-05;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"24/03/2000";NA;"MBML00005712";12112;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"S. Profice/23-10-2002";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;52;"S";40;37;14;"W";NA;"São Lourenço";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"G. Hupp";"et al";84;NA;NA;30;1;1997;"Inflorescencia laranja, flores amarelas, 1m de altura, beira do rio São Lourenço.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-24;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"22/12/2006";NA;"MBML00005706";27780;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"L.F.S. Magnago e V. Demuner, 20/2/2006";NA;2006-02-20;"Brasil";"Espírito Santo";"Santa Leopoldina";20;3;33;"S";40;28;14;"W";NA;"Fazenda Caioaba, propr.:Virloni, Mata, trilha do corrego Caioaba.";"GPS - arredores da coleta";"150";"650";NA;NA;"L. F. S. Magnago";"V. Demuner, M. Belizário, E. Bausen";469;NA;"05/01/2006";5;1;2006;"Arbusto. Flores amarelas. Rupícula. Mata.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"X";NA;NA;2010-08-17;NA;TRUE
"23/11/2007";NA;"MBML00005708";31900;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"L. Kollmann";NA;2007-10-25;"Brasil";"Espírito Santo";"Santa Teresa";19;56;16;"S";40;37;39;"W";NA;"Valão de São Pedro";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"R. C. Britto";"J. C. Butke";182;NA;"03/10/2007";3;10;2007;"Erva 0.75m, meio da mata, propriedade do Sr. Luigi Mario Giurizato, bracteas laranja e flores amarelas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"12/12/2008";NA;"MBML00005707";35950;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;"L. Kollmann/20-01-2008";NA;NA;"Brasil";"Espírito Santo";"Alegre";20;40;52;"S";41;23;55;"W";NA;"Monte Cristo";"Google Earth - aproximação pelo local da coleta";"500";NA;NA;NA;"L. Kollmann";"A.P. Fontana, D.Couto, C. Fraga & M. Simonelli";10359;NA;"20/01/2008";20;1;2008;"Erva 50 cm, bracteas laranjas.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"26/08/2009";NA;"MBML00005709";37995;"AD";"ACANTHACEAE";"Aphelandra";"hirta";"(Klotzsch) Wassh.";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Itapemirim";20;55;54;"S";41;2;44;"W";NA;"Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes";"da etiqueta da coleta";NA;NA;NA;NA;"A. M. Assis";"Valdir G. Demuner";1360;NA;"25/01/2008";25;1;2008;"Herbácea de 1 m altura. Brácteas laranjas, pétalas amarelas. Interior da Mata. Fundo de vale. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005995";1769;"AD";"ACANTHACEAE";"Aphelandra";"hymenobracteata";"Profice";NA;NA;NA;NA;NA;"Sheila Regina Profice";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;46;50;"S";40;36;15;"W";NA;"25 de Julho, Alto Julião";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"W. Pizziolo";NA;129;"PIZZIOLO, W., 129";NA;14;6;1984;"Arbustinho de 1m, flores de cor abóbora.";NA;0;"US, RB";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;"E";"HOLOTIPO";NA;NA;2002-05-23;NA;NA;NA;NA;"ES, Santa Teresa, Alto do Julião";NA;2010-08-13;NA;TRUE
"21/11/2005";NA;"MBML00005713";25012;"AD";"ACANTHACEAE";"Aphelandra";"longiflora";"(Lindl.) Profice";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Castelo";20;31;9;"S";41;6;2;"W";NA;"Parque Estadual do Forno Grande";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"L. Kollmann";"et al";8062;NA;NA;14;7;2005;"Erva 1,5m no sol. Flores.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005717";1148;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;57;47;"S";40;34;37;"W";NA;"Valsugana Velha";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"W. Pizziolo";NA;297;"PIZZIOLO, W., 297";NA;7;3;1986;"Erva, folha vinho inferiormente e verde com estrias brancas acompanhando as nervuras secundárias, brácteas verdes com ápice vinho, corola laranja, semi-sombra, mata.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-15;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005737";1718;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;"S. Profice/23-10-2002";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;53;"S";40;36;27;"W";NA;"Estação Biológica Caixa D'Água";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1747;"FERNANDES, 1747";NA;17;12;1985;"Erva, pêlos alvos, folhas arroxeadas inferiormente, brácteas verdes com bordos vináceos, cálice verde, corola laranja.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US, RB";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005728";1719;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;22;"S";40;36;7;"W";NA;"Vale do Canaã";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1739;"FERNANDES, 1739";NA;13;12;1985;"Erva, folhas com manchas brancas nas nervuras da face superior e vinácea na face inferior, flores com corola cor de laranja, semi-sombra, encosta, solo pedregoso e orgânico.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005726";1755;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;49;25;"S";40;30;38;"W";NA;"Nova Lombardia";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"W. Boone";NA;626;"BOONE, 626";NA;6;8;1985;"Erva alvo-pilosa, folha roxa inferiormente, flores alaranjadas, brácteas verdes com bordos escurecidos.";NA;0;NA;"AR*";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005719";1759;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;"S. Profice/23-10-2002";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;46;50;"S";40;36;15;"W";NA;"25 de Julho, Alto Julião";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"R. M. Pizziolo";NA;152;"PIZZIOLO, R., 152";NA;14;6;1984;"Arbustinho de 50cm, flores amarelas.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005725";1780;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;56;55;"S";40;36;13;"W";NA;"Torre receptora de TV";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1766;"FERNANDES, 1766";NA;13;1;1986;"Sub-arbusto, pêlos translúcidos, face inferior da folha vinho, flores com brácteas verdes com margem vinho, cálice verde, corola laranja, semi-sombra, capoeirão.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005738";1781;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;58;17;"S";40;31;49;"W";NA;"Estação Biológica de Santa Lúcia";"Google Earth - Centro  geográfico da UC";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1780;"FERNANDES, 1780";NA;15;1;1986;"Erva, folhas superiormente com manchas nas nervuras e inferiormente verde clara ou vináceas, brácteas verdes com bordos vináceos, corola laranja, cálice verde, semi-sombra, mata, trilha, terreno íngreme.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005731";1783;"AD";"ACANTHACEAE";"Aphelandra";"margaritae";"E.Morren";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;49;25;"S";40;30;38;"W";NA;"Nova Lombardia";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"J. M. Vimercat";NA;308;"VIMERCAT, 308";NA;2;12;1985;"Erva com flores cor de abóbora, ciófila, mata.";NA;0;NA;"AR*";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
