"DATAREG";"EXTNO";"CODIGO BARRA";"REGISTRO";"GRUPO";"FAMILIA";"GENERO";"ESPECIE";"AUTOR";"INFRAESPEC";"RANKINFRA";"AUTORINFRA";"ORIGEM_NR";"HERBARIO";"DET";"QUALIFIC";"DATADET";"PAIS";"ESTADO";"MUNICIPIO";"LATGRAU";"LATMIN";"LATSEG";"LATDIREC";"LONGGRAU";"LONGMIN";"LONGSEG";"LONGDIREC";"X__1";"LOCALIDADE";"COORDENADA-OBS";"ALTITUDE";"ALTMAIOR";"HABITAT";"VEGETACAO";"COLETOR";"OUTROSCOL";"NUMCOLETOR";"CODIGOCOL";"DATACOL";"DIA";"MES";"ANO";"OBSCOL";"FENOFASE";"NUMDUPLS";"DESTINO";"LEMBRETE";"ANOEMPRESTIMO";"EMPRESTIMO";"NRPARTES";"EM";"PARA";"A_CUIDADOS";"DEVOLUCAO";"OBS";"REMESSA";"vazio";"COLEÇÃO";"TIPIFICAÇÃO";"JR";"PARQUE";"INVENTÁRIO 2001";"INVENTÁRIO";"C EPÍFITAS";"DISTRIBUIÇÃO DE DUPLICATAS";"SUSPEITO-CRIA";"LOCALIDADE DETALHADA";"DUPLICATA DE";"INVENTÁRIO 2010";"INVENTÁRIO 2010 OBS";"INVENTÁRIO 2010 LOCALIZADO"
NA;NA;"MBML00005841";1735;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;52;"S";40;37;14;"W";NA;"São Lourenço";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"W. Boone";NA;186;"BOONE, 186";NA;24;5;1984;"Trepadeira com flores roxas, solo avermelhado.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005831";1740;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"D. C. Wasshausen/08-1991";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;52;"S";40;37;4;"W";NA;"Valsugana Velha";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1164;"FERNANDES, 1164";NA;22;5;1985;"Volúvel, ciófila, com flores liláses, mata.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005845";4002;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica de Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"W. Pizziolo";NA;148;"PIZZIOLO, W., 148";NA;2;8;1984;"Arbustinho de +/- 2m, flor roxa, solo barro escuro, altitude de +/- 700m.";NA;0;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005837";4086;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"D. C. Wasshausen/08/1991";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;58;19;"S";40;30;45;"W";NA;"Santa Lúcia";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"W. A. Hoffmann";NA;138;"HOFFMANN, 138";NA;12;6;1984;"Planta escandente, flor roxa com estames amarelos, solo avermelhado, altitude de +/- 600m.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005836";4599;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"D. C. Wasshausen/08-1991";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;53;"S";40;36;27;"W";NA;"Estação Biológica Caixa D'Água";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"H. Q. Boudet Fernandes";"et al";2499;"FERNANDES, 2499";NA;19;5;1988;"Trepadeira, flores liláses, pétalas inferior com sulco branco, ao sol. Mata primária, alto de encosta.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"MO, US";NA;NA;NA;2010-08-17;NA;TRUE
"24/02/2000";NA;"MBML00005832";11916;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"A.L.A. Côrtes/01-10-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;20;"S";40;35;21;"W";NA;"Santo Antônio";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"L. Kollmann";"et al";2513;NA;NA;27;4;1999;"Mata de encosta. Trepadeira no sol. Flores roxas.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-24;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"06/06/2000";NA;"MBML00005833";12652;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"A.L.A. Côrtes/01-10-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;20;"S";40;35;21;"W";NA;"Santo Antônio";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"V. Demuner";"et al";1092;NA;NA;30;5;2000;"Trepadeira sobre pequenos arbustos, botões florais e flores lilases. Ambiente sombreado.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-24;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"03/10/2001";NA;"MBML00005829";15183;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/21-01-2004";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"L. Kollmann";"et al";4670;NA;NA;19;9;2001;"Trepadeira no sol no brejo. Flores lilás.";NA;NA;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-05-15;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"30/07/2002";NA;"MBML00005834";16881;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"A.L.A. Côrtes/01-10-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"R.R. Vervloet";"et al";98;NA;NA;11;4;2002;"Trepadeira no sol. Arbusto a beira da estrada, brácteas e sépalas de cor verde, pétalas lilás, estames brancos, antera amarela, pétala ventral parte inferior mais clara, parte superior com listra branca no centro.";NA;NA;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;2002-07-30;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"31/03/2003";NA;"MBML00005838";20127;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/21-01-2004";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"R.R. Vervloet";"et al";2086;NA;NA;27;3;2003;"Trepadeira, flores com cálice verde oliva, corola lilás, frutos imaturos de cor verde com base branca. Topo de morro, dossel 16m.";NA;NA;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
